,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
FLJ32255,413.637.169.034.252,-867.095.976.212.542,255.269.341.234.725,-33.967.885.529.004,681.816.297.104.123,936.881.309.454.521,FALSE
SWAP70,278.016.068.809.814,86.629.752.185.272,247.336.291.735.576,350.250.873.324.675,460.898.673.851.441,703.688.002.044.938,FALSE
TBC1D1,104.334.708.083.473,-865.139.360.682.041,227.574.674.317.467,-380.156.255.645.199,143.786.424.449.303,300.345.086.235.221,FALSE
IPO5P1,446.715.833.584.433,864.958.316.639.489,297.182.839.132.302,291.052.578.663.339,360.821.191.045.604,3.023.633.860.305,FALSE
ADGRG5,173.802.510.876.997,86.445.742.358.585,320.969.672.089.802,269.326.823.919.984,707.553.182.477.527,480.622.039.675.771,FALSE
MOB3B,380.898.176.378.201,862.735.730.977.837,283.930.894.735.223,303.854.123.300.803,237.726.569.874.662,222.783.198.802.015,FALSE
BPGM,166.208.764.972.839,-861.029.832.900.236,248.995.203.495.637,-345.801.774.818.255,544.165.534.662.351,788.590.587.398.236,FALSE
BRCA1,638.672.622.864.534,-860.831.760.854.153,302.818.613.270.574,-284.273.067.483.135,447.288.501.085.097,347.975.808.654.539,FALSE
SEMA4C,890.038.013.004.965,860.805.140.243.523,304.488.627.497.059,282.705.185.845.353,469.787.193.316.884,358.149.929.129.616,FALSE
FASTKD1,630.288.673.304.253,858.323.719.611.834,310.427.167.122.815,276.497.616.998.919,569.269.543.271.234,41.485.745.309.958,FALSE
PAFAH2,117.441.785.870.254,857.977.489.619.097,214.114.071.148.785,400.710.464.761.047,"6,15E+09",154.074.363.220.842,FALSE
IL10RB,102.334.598.410.622,-857.784.972.795.557,312.362.690.200.763,-274.611.853.369.632,603.049.710.282.039,430.399.370.823.946,FALSE
FMNL1,621.803.447.481.548,-855.657.564.337.139,281.064.414.748.035,-304.434.684.520.347,233.186.126.948.701,219.974.175.173.692,FALSE
PCBD2,29.702.622.750.459,855.215.219.276.912,284.707.393.606.134,300.383.916.428.957,266.596.217.309.975,242.273.295.491.655,FALSE
SAPCD2,232.722.997.636.205,-853.169.941.539.351,308.926.920.312.723,-276.172.092.958.327,574.976.011.394.148,416.885.022.883.043,FALSE
GSS,6.169.500.055.949,853.087.628.070.379,300.443.889.314.658,283.942.412.680.236,4.519.504.165.601,35.088.458.140.694,FALSE
CHMP2B,283.112.762.137.779,-852.345.702.875.451,272.472.704.251.495,-312.818.748.291.472,175.887.947.822.266,181.047.115.966.872,FALSE
GLOD4,193.522.537.795.588,850.333.571.471.434,287.606.278.603.758,295.658.904.110.003,311.062.403.323.653,26.998.985.615.725,FALSE
CCL5,148.078.152.623.392,850.168.214.147.052,283.410.173.015.184,29.997.801.599.786,270.174.530.125.402,243.927.716.422.565,FALSE
KIAA0513,10.816.537.592.228,-847.665.310.843.562,302.962.414.196.673,-279.792.235.314.472,514.324.751.936.828,383.641.190.048.366,FALSE
ZNF350,150.162.856.649.273,-846.940.935.008.162,205.817.095.077.175,-411.501.743.667.399,"3,87E+09",108.754.862.798.576,FALSE
PRKCQ-AS1,128.755.107.986.548,845.949.401.233.987,298.448.785.967.659,283.448.766.089.354,458.992.304.378.225,354.101.825.395.201,FALSE
ZC3H14,955.194.416.236.683,843.180.538.350.058,259.582.538.375.384,324.821.747.883.029,1.161.304.716.633,134.600.409.483.734,FALSE
COPG1,759.538.796.922.267,-842.779.253.149.109,255.464.600.374.464,-329.900.601.458.578,970.278.323.452.497,120.282.872.597.562,FALSE
TOR1A,49.586.190.035.448,-842.624.547.399.745,263.480.411.112.752,-319.805.386.609.617,138.358.433.444.878,152.020.995.514.339,FALSE
INPP5B,149.648.421.545.456,841.966.073.276.716,277.200.083.433.647,303.739.473.252.452,238.632.737.291.644,223.448.798.752.972,FALSE
SETX,185.421.477.243.209,-841.079.709.140.373,270.153.294.549.057,-311.334.241.007.245,184.981.268.627.876,187.529.899.440.083,FALSE
NLRC5,249.016.686.084.226,-841.060.626.373.348,312.851.039.763.438,-268.837.408.055.065,71.800.910.102.149,485.411.606.232.964,FALSE
NSMAF,319.385.800.237.236,-839.837.208.891.393,292.047.829.628.739,-287.568.378.768.307,403.153.366.389.321,324.407.734.275.004,FALSE
UNC13D,209.721.307.527.716,-839.735.811.407.608,270.556.134.099.312,-310.373.968.863.471,191.091.379.576.123,192.186.700.534.893,FALSE
TTC3,366.601.147.586.822,838.622.740.779.029,296.015.558.499.998,283.303.602.360.832,461.081.895.566.072,354.645.206.193.758,FALSE
TCERG1,175.232.921.966.132,838.226.974.787.729,312.272.294.942.164,268.428.223.817.606,726.857.167.933.474,489.941.252.971.707,FALSE
RNF114,8.132.419.906.128,-836.491.890.761.394,252.491.890.365.975,-331.294.557.440.613,923.189.429.901.778,116.213.857.042.271,FALSE
DNAJC19,344.098.302.412.838,835.929.507.216.201,30.764.134.644.249,271.722.093.562.111,658.326.459.234.219,456.416.230.577.833,FALSE
CLCF1,383.949.956.561.366,835.109.499.256.445,29.070.560.263.936,287.269.833.011.253,406.982.533.953.529,327.106.116.965.468,FALSE
CD2,644.930.251.020.851,834.413.028.741.494,275.775.744.083.672,30.256.940.526.587,248.063.168.278.265,22.975.853.335.889,FALSE
TXNIP,293.567.204.919.505,-833.153.161.109.787,290.071.829.995.393,-28.722.305.131.216,407.585.541.762.693,327.360.077.732.642,FALSE
CD247,116.377.105.241.348,832.983.220.913.441,25.885.840.908.666,321.791.060.932.688,129.128.054.461.228,145.237.224.963.541,FALSE
SERPINB9P1,583.665.282.939.038,-831.835.119.043.809,236.487.062.537.109,-351.746.564.957.768,435.688.737.386.535,673.310.304.863.609,FALSE
ABCD4,101.275.880.890.517,830.459.728.644.257,289.648.737.425.933,286.712.704.506.996,414.216.695.827.482,330.128.680.357.263,FALSE
SEMA4D,390.742.835.635.869,-829.519.508.320.024,273.841.829.640.176,-302.919.210.483.658,245.208.705.970.303,228.294.309.517.657,FALSE
HSF2,426.023.850.251.316,827.118.387.338.219,305.599.993.025.178,270.653.928.735.553,67.988.537.220.076,467.395.579.864.356,FALSE
AIM1,662.492.348.542.606,-826.164.784.265.175,300.954.075.789.238,-274.515.233.627.788,604.828.147.512.071,431.129.063.898.448,FALSE
GRIPAP1,560.962.479.503.247,-825.951.010.178.477,258.872.282.967.814,-319.057.336.192.755,141.990.786.823.293,154.866.315.377.112,FALSE
MKL1,985.230.358.190.977,-824.734.799.976.982,283.503.830.880.839,-290.907.815.042.411,362.496.232.247.351,303.098.939.060.194,FALSE
MIER1,702.959.252.578.507,-824.378.854.159.444,219.044.536.044.411,-37.635.216.520.183,167.537.213.796.373,332.457.109.682.612,FALSE
NFATC3,693.375.054.179.176,824.139.057.455.723,201.048.392.382.706,409.920.739.822.148,"4,15E+09",113.657.245.429.661,FALSE
PCMT1,462.513.686.218.831,-823.195.196.102.057,243.769.668.761.527,-337.693.856.780.585,73.297.418.496.109,980.019.997.594.517,FALSE
HDAC1,698.528.977.132.701,822.882.034.883.358,19.450.261.870.553,423.069.900.220.301,"2,33E+09",738.049.981.718.554,FALSE
WIPF1,521.962.156.880.073,-822.326.120.881.781,216.876.183.329.567,-37.916.847.680.419,149.628.764.942.817,309.151.460.900.876,FALSE
ANKH,196.391.831.725.009,821.302.239.269.023,29.020.060.069.203,283.011.901.874.253,46.530.691.158.042,356.162.773.595.617,FALSE
WDR77,120.443.024.922.125,820.950.147.492.449,216.733.169.690.834,378.783.805.295.479,151.963.844.472.978,31.154.803.505.937,FALSE
MRPS25,203.139.602.755.629,8.189.277.387.555,254.173.982.609.042,322.191.803.562.811,127.335.556.430.546,143.788.318.919.839,FALSE
TIGIT,143.977.893.046.864,816.969.660.954.374,287.685.106.470.077,283.980.519.874.202,451.410.906.552.195,35.070.445.430.707,FALSE
KIAA0753,554.791.069.167.718,81.385.535.118.145,301.945.417.265.483,269.537.242.377.113,703.099.964.486.929,478.737.617.610.354,FALSE
IDH1,166.213.698.934.244,-813.741.604.624.281,282.146.727.858.766,-288.410.789.237.158,392.524.244.547.363,319.310.913.627.866,FALSE
RAP2C,675.357.748.671.742,-813.519.165.905.639,219.944.992.296.253,-369.873.920.480.025,216.673.090.772.349,399.863.527.549.941,FALSE
CLMN,189.633.073.837.011,-81.308.905.255.177,262.395.787.685.667,-309.871.229.154.714,194.363.666.024.884,194.790.651.231.441,FALSE
POLR1A,493.703.582.816.079,812.205.269.434.854,272.414.731.979.721,298.150.273.860.855,286.837.481.215.756,254.780.488.572.095,FALSE
RRAGD,129.537.263.709.654,-811.565.376.093.781,281.498.218.514.773,-288.302.135.756.213,393.880.734.272.203,319.928.836.980.403,FALSE
ZNF646,454.351.055.727.083,-808.144.956.605.029,290.289.494.756.996,-278.392.766.945.127,537.050.090.714.477,39.542.003.128.461,FALSE
NELFCD,20.928.790.535.688,806.540.236.250.169,270.761.252.973.129,297.878.750.151.231,289.391.397.717.385,256.577.602.127.909,FALSE
CITED2,532.393.035.366.553,-806.274.284.857.138,253.753.498.498.393,-31.773.917.980.573,1.486.061.296.951,159.891.783.884.209,FALSE
SMC3,112.758.713.539.311,806.109.484.042.323,245.286.717.557.015,328.639.680.155.103,101.477.949.798.844,123.254.101.965.475,FALSE
MESDC1,317.115.228.087.634,-804.623.639.457.365,246.657.766.115.251,-32.621.054.351.129,110.588.003.576.682,130.563.920.442.413,FALSE
STK17B,281.785.435.233.295,-803.743.672.818.399,262.618.293.779.815,-306.050.146.488.376,220.966.679.727.265,211.419.881.064.551,FALSE
PCED1B-AS1,233.528.085.235.873,803.661.624.537.232,263.181.961.339.457,305.363.490.889.352,226.087.040.747.296,215.056.105.064.463,FALSE
GNAI3,959.838.776.114.437,-803.069.082.908.493,239.836.721.923.924,-334.839.917.951.857,812.798.479.348.087,105.220.960.919.012,FALSE
TOMM40L,114.011.163.867.672,-80.243.889.946.704,29.041.957.094.158,-276.303.314.155.249,572.669.513.974.852,416.370.619.060.829,FALSE
PCMTD2,216.151.796.079.668,802.336.403.671.633,243.809.546.185.574,329.083.260.366.245,99.891.336.081.149,12.215.426.731.893,FALSE
RBFA,442.088.325.583.912,801.586.855.512.341,290.328.660.485.676,27.609.635.720.132,576.311.041.300.105,417.322.376.255.727,FALSE
GIMAP6,148.315.655.781.662,-800.323.076.516.603,254.315.226.246.012,-314.697.270.914.644,164.970.358.758.541,172.455.265.045.019,FALSE
HAUS5,689.448.666.218.193,799.791.145.632.988,277.002.561.324.974,288.730.595.777.665,388.556.190.567.057,317.896.940.704.253,FALSE
EIF2B5,158.617.451.001.083,799.267.709.022.452,270.236.332.805.737,295.766.191.290.427,309.981.904.677.722,269.849.899.772.114,FALSE
AGPAT3,722.052.107.277.308,-798.530.051.311.444,290.966.440.924.085,-274.440.601.732.412,60.620.509.681.507,431.634.184.734.598,FALSE
CNEP1R1,189.463.757.810.057,-797.478.872.463.012,238.090.660.873.617,-334.947.565.577.269,809.646.702.145.363,10.493.205.270.418,FALSE
KIAA0930,103.095.994.118.714,-796.510.292.555.031,295.542.316.337.611,-269.508.036.082.773,703.716.567.585.925,478.861.130.122.286,FALSE
LOC441455,373.128.670.756.517,-795.998.610.608.732,279.430.751.392.031,-284.864.356.067.945,439.060.397.190.935,343.684.545.639.164,FALSE
CDK17,331.052.872.584.569,-795.367.770.160.426,261.185.776.869.252,-304.521.854.020.628,232.511.292.184.179,219.519.146.304.682,FALSE
HDAC3,21.088.013.596.617,794.766.136.787.438,282.087.053.679.098,281.744.988.443.022,484.066.684.204.353,3.673.174.007.552,FALSE
ZMYND11,177.582.506.040.534,793.910.267.014.119,275.899.071.336.712,287.753.874.330.812,400.790.691.360.504,323.268.588.045.725,FALSE
TMEM127,120.881.057.140.686,-79.235.881.651.373,279.851.906.852.969,-283.135.042.896.108,463.519.068.751.124,355.032.570.792.919,FALSE
ANXA5,158.465.100.980.723,-791.147.186.181.249,295.620.718.699.126,-267.622.374.258.028,744.569.203.916.189,498.053.476.285.287,FALSE
SLC9A1,333.540.996.817.305,-791.115.962.908.212,268.886.032.645.943,-294.219.805.738.262,325.891.422.152.681,279.668.297.189.716,FALSE
PELO,16.952.147.805.579,-789.502.266.981.149,244.567.770.575.477,-322.815.334.630.324,12.459.216.510.864,141.955.408.897.507,FALSE
RAB8B,105.550.625.492.736,-788.038.756.920.256,228.707.191.258.181,-344.562.299.324.756,569.744.625.484.711,81.325.875.515.058,FALSE
ZNF792,593.641.084.200.298,786.701.433.485.279,288.644.642.966.868,272.550.159.046.458,642.038.671.217.664,449.908.718.230.759,FALSE
GLIPR1,868.694.045.764.546,786.529.555.313.901,228.492.031.948.292,344.226.250.958.237,576.870.148.369.277,82.240.050.526.895,FALSE
TFG,241.908.946.084.943,-784.757.437.261.931,23.924.981.887.561,-328.007.536.620.096,10.377.935.943.405,124.984.540.057.586,FALSE
OS9,280.775.120.834.823,-783.196.535.147.519,251.733.602.081.208,-311.121.172.808.255,1.863.212.936.816,188.386.024.329.668,FALSE
ORAI2,793.672.795.122.224,-782.473.843.213.205,257.432.665.996.151,-303.952.818.180.775,236.949.032.778.808,222.420.059.163.975,FALSE
NKIRAS2,298.861.951.872.977,-782.437.016.917.944,218.753.283.199.284,-357.680.125.059.036,347.824.424.803.084,574.262.589.668.474,FALSE
MKRN9P,641.260.051.390.166,-781.476.773.599.119,259.780.910.793.748,-300.821.477.302.298,262.787.350.097.989,240.151.420.502.209,FALSE
CAPZA1,238.484.081.098.562,-779.615.462.794.178,262.913.849.657.256,-296.528.868.224.521,302.399.017.380.824,265.539.935.411.372,FALSE
RIN3,182.027.732.031.974,-776.856.884.458.283,218.924.730.316.752,-354.851.132.320.357,387.415.340.704.241,61.883.360.794.564,FALSE
STK26,300.705.188.646.564,775.666.174.108.765,259.180.161.672.871,299.276.830.874.034,276.459.539.187.798,247.295.768.191.124,FALSE
SMIM14,194.387.117.831.351,-773.983.464.001.749,257.550.410.681.969,-300.517.270.367.504,265.430.090.225.208,241.598.577.734.916,FALSE
PSIP1,379.313.098.673.333,773.585.747.640.587,243.805.320.201.185,31.729.649.992.963,150.890.713.836.101,161.891.683.095.083,FALSE
CNDP2,962.890.420.897.995,-773.137.924.622.984,283.618.559.955.083,-272.597.789.349.691,641.112.920.867.707,449.685.907.902.595,FALSE
NACC1,26843221.51.00,-772.834.691.446.489,223.547.420.637.315,-345.713.982.851.246,545.941.490.108.921,790.160.240.443.178,FALSE
SMYD2,580.593.971.710.818,772.627.053.417.123,285.945.268.397.202,270.201.027.542.054,689.216.323.603.604,471.819.458.025.156,FALSE
EFTUD2,339.057.074.169.716,77.213.795.065.256,280.573.705.199.156,275.199.684.198.661,592.330.921.059.688,425.411.470.698.095,FALSE
PITPNC1,318.608.634.893.219,770.761.248.533.248,244.377.760.986.933,315.397.459.007.925,161.063.108.862.694,169.458.003.374.449,FALSE
ZSCAN16,617.114.541.357.803,-770.312.645.086.744,225.731.182.654.229,-341.252.208.059.661,64.364.712.361.636,896.312.020.127.544,FALSE
RRAGC,297.207.024.903.912,-769.116.721.160.526,243.481.998.122.399,-315.882.376.147.533,158.407.251.355.942,167.390.200.727.963,FALSE
CSRP2BP,573.346.058.827.705,76.469.113.553.563,238.647.513.564.366,32.042.702.817.827,135.405.296.738.461,149.786.363.656.852,FALSE
CYP2R1,465.158.651.724.286,762.062.847.054.223,266.533.286.898.362,285.916.575.720.173,424.756.774.039.808,335.713.860.562.995,FALSE
FTSJ1,106.068.516.432.645,759.394.250.323.922,241.719.023.410.639,314.164.040.384.129,16.800.423.521.586,175.305.425.675.835,FALSE
TOR3A,291.791.792.486.396,-754.699.112.746.237,26.094.330.716.408,-28.921.957.069.843,382.559.563.023.796,314.915.627.871.826,FALSE
TBC1D17,183.866.598.214.761,754.117.922.203.302,260.660.430.217.309,28.931.047.246.972,381.454.087.310.008,314.568.609.238.658,FALSE
TRIM24,621.118.822.070.305,753.244.911.928.148,265.520.094.823.721,283.686.593.449.068,455.587.376.060.319,352.508.414.109.087,FALSE
CENPT,190.896.854.936.574,748.699.696.466.978,243.430.814.577.935,307.561.595.176.472,210.068.230.869.224,20.529.804.396.431,FALSE
LOC374443,148.435.514.552.138,748.586.075.406.357,236.809.735.607.907,316.112.880.023.571,157.158.988.003.991,166.734.721.691.676,FALSE
ZNF625-ZNF20,595.015.124.332.403,-745.774.113.441.027,225.520.049.051.138,-330.690.826.194.312,943.317.792.614.052,117.579.665.844.407,FALSE
BTK,60.321.641.320.117,-743.418.349.386.362,2.514.351.603.811,-295.670.004.250.625,310.950.453.783.673,26.998.985.615.725,FALSE
TICAM1,233.123.878.775.012,-742.124.565.805.441,248.450.900.700.856,-298.700.694.467.993,281.723.322.696.973,251.609.592.432.183,FALSE
RBBP7,291.599.689.117.573,74.006.611.129.754,221.780.924.216.755,33.369.241.016.159,847.110.778.487.165,108.921.064.584.511,FALSE
ZFP14,686.201.547.952.155,739.160.142.879.658,275.453.235.038.957,268.343.242.647.021,728.706.997.397.626,490.318.779.074.922,FALSE
METTL10,381.480.851.169.922,738.465.922.547.581,265.926.938.196.519,277.695.041.937.368,548.715.485.095.675,402.450.167.685.927,FALSE
SLC25A38,142.208.197.010.544,736.700.719.494.944,275.264.977.767.033,267.633.291.191.312,744.326.693.131.349,498.053.476.285.287,FALSE
EIF2S3,879.567.331.080.352,736.670.855.670.116,197.846.464.841.548,372.344.715.009.238,196.521.013.840.652,377.326.963.443.204,FALSE
EIF2A,262.310.053.721.163,736.609.908.003.127,229.282.668.018.516,321.267.156.549.156,131.506.578.472.406,146.890.522.841.684,FALSE
MORC3,518.199.694.779.198,-735.964.056.882.232,25.108.513.513.283,-293.113.352.366.674,337.727.585.938.208,286.591.005.775.689,FALSE
MYLIP,63.048.102.215.788,-734.763.332.814.435,215.610.269.621.764,-340.783.087.050.259,654.814.675.731.365,907.695.825.635.106,FALSE
MAX,146.509.926.157.123,-734.078.075.031.012,213.690.610.273.202,-343.523.786.137.584,592.033.931.571.566,838.776.023.549.529,FALSE
TMEM184B,362.839.223.361.387,-731.799.964.960.022,221.922.574.315.691,-32.975.463.051.317,975.335.909.996.294,12.064.757.107.926,FALSE
RSAD1,190.427.765.544.677,731.057.224.339.202,207.572.893.361.871,35.219.301.157.243,428.417.064.053.996,664.802.149.117.219,FALSE
NCOA4,286.969.215.230.337,730.857.435.473.202,272.595.042.021.908,268.111.052.223.196,733.782.764.847.603,493.152.176.375.186,FALSE
ATXN10,198.171.688.672.082,729.100.027.453.497,238.623.879.910.261,305.543.614.380.794,224.733.452.791.632,214.304.768.318.441,FALSE
GCC1,337.306.466.615.565,-728.230.415.664.054,202.646.992.455.212,-359.359.103.651.638,326.151.621.365.293,549.447.450.763.836,FALSE
ULK3,237.747.398.015.823,726.724.787.392.525,258.460.226.192.435,281.174.708.425.523,4.927.323.019.448,372.159.728.720.559,FALSE
GPATCH11,831.287.771.279.457,725.756.734.079.842,259.490.757.341.566,27.968.500.362.598,516.034.790.667.498,384.413.898.599.792,FALSE
NOL9,170.903.017.030.087,724.347.392.824.974,248.979.263.027.607,290.926.796.078.057,362.276.203.026.275,303.098.939.060.194,FALSE
SLC9A3R1,153.216.210.916.112,72.430.240.488.603,268.138.398.148.038,270.122.597.094.858,690.843.832.849.442,472.365.083.080.494,FALSE
ZNF687,419.239.486.483.934,-72.424.387.872.167,226.563.089.706.013,-319.665.431.673.555,139.031.435.626.751,152.613.428.616.274,FALSE
DIMT1,538.514.194.377.051,719.873.343.356.694,264.656.762.745.773,272.002.625.547.188,652.767.330.668.919,453.123.031.422.947,FALSE
POLR3E,112.778.154.907.081,719.656.348.893.404,235.025.985.567.952,30.620.288.524.876,219.842.260.917.336,210.520.653.716.391,FALSE
DOK1,491.678.133.803.636,-717.878.652.944.383,265.100.198.178.183,-27.079.521.549.881,6.769.978.144.284,465.691.198.646.315,FALSE
FBRS,117.776.762.272.386,-717.036.755.025.873,25.029.339.685.742,-286.478.494.450.388,41.729.253.204.389,331.874.493.691.168,FALSE
CYP20A1,124.026.164.563.831,716.990.987.792.036,242.218.702.317.707,296.009.755.205.274,307.541.642.897.209,268.569.099.329.454,FALSE
ARID4B,833.965.623.228.454,-715.628.351.452.656,255.279.780.903.613,-280.330.995.631.362,505.810.322.612.398,379.083.784.678.806,FALSE
EXD2,328.759.026.867.266,711.844.752.178.647,260.409.735.929.702,27.335.565.993.232,62.654.354.018.084,442.145.894.433.055,FALSE
ASH2L,279.260.400.367.192,-708.721.656.187.236,154.593.236.253.801,-458.442.861.642.216,"4,55E+08",206.848.337.352.383,FALSE
TOP2B,669.287.532.137.914,707.440.538.938.422,245.052.458.715.586,288.689.427.009.379,389.064.947.498.828,318.084.998.295.637,FALSE
KTN1,233.079.757.071.748,706.152.166.778.693,234.798.790.891.127,300.747.786.689.466,263.425.306.398.987,24.054.168.290.476,FALSE
DNASE1L1,246.798.334.473.019,-705.435.138.757.664,244.137.708.579.882,-288.949.684.528.904,385.858.878.646.096,3.165.985.979.107,FALSE
BRD4,10.628.664.765.973,-700.089.855.440.531,261.487.574.337,-267.733.507.879.143,742.103.768.998.713,497.279.288.215.648,FALSE
